"Date","Samsung","Apple","Xiaomi","Huawei","Oppo","Unknown","Vivo","Motorola","Realme","LG","Mobicel","OnePlus","Google","Tecno","Nokia","Lenovo","Infinix","Sony","Asus","HTC","BBK","Itel","General Mobile","ZTE","Alcatel","Micromax","Lava","Hisense","Vestel","Gionee","Casper","Honor","Wiko","Infinex","QMobile","Meizu","Vodafone","Coolpad","bq","Turkcell","T-Mobile","LeEco","Lyf","Panasonic","Condor","Xolo","Sharp","TCL","RIM","Opp","Symphony","Kyocera","Reeder","Blu","Sumsung","Intex","InFocus","Neffos","Smartisan","Vsmart","Mobiistar","CAT","Other"
2019-01,32.16,22.85,7.88,7.87,4.49,4.43,0,2.72,0,2.78,3.04,0.5,0.49,0.39,1.16,1.77,0.24,0.79,0.57,0.76,0.6,0.24,0.46,0.35,0.2,0.6,0.4,0.03,0.08,0.26,0.04,0,0.16,0,0.13,0.06,0.09,0.12,0.05,0.07,0,0.06,0.11,0.09,0.05,0.05,0.01,0,0.06,0,0.04,0.01,0,0.03,0,0.07,0.04,0.02,0.01,0,0.01,0,0.52
2019-02,31.52,23.28,8.03,8.12,4.46,4.65,0,2.77,0,2.74,3.12,0.52,0.53,0.39,1.19,1.7,0.23,0.75,0.54,0.72,0.58,0.24,0.36,0.33,0.19,0.57,0.37,0.03,0.07,0.25,0.03,0,0.13,0,0.15,0.06,0.08,0.11,0.05,0.06,0,0.06,0.11,0.09,0.04,0.05,0.01,0,0.05,0,0.06,0.01,0,0.02,0,0.06,0.04,0.02,0.01,0,0.01,0,0.45
2019-03,31.77,22.4,7.52,8.57,4.41,4.11,0,2.72,0.02,2.89,2.65,0.6,0.52,0.48,1.19,1.51,0.32,1.15,0.91,0.66,0.68,0.25,0.36,0.39,0.33,0.47,0.36,0.05,0.16,0.26,0.11,0,0.19,0,0.15,0.09,0.11,0.1,0.1,0.06,0.01,0.08,0.1,0.09,0.05,0.07,0.02,0,0.06,0,0.07,0.02,0,0.03,0.02,0.05,0.05,0.03,0.01,0,0.02,0.01,0.6
2019-04,32.16,22.76,7.21,8.72,4.35,4.19,0,2.62,0.03,2.87,2.58,0.6,0.55,0.43,1.13,1.41,0.29,1.14,0.93,0.66,0.63,0.23,0.44,0.37,0.34,0.4,0.33,0.05,0.2,0.22,0.13,0,0.17,0,0.15,0.09,0.11,0.09,0.09,0.07,0.01,0.07,0.09,0.07,0.05,0.07,0.02,0,0.06,0,0.07,0.02,0,0.03,0.02,0.04,0.04,0.03,0.01,0,0.02,0.01,0.55
2019-05,31.55,22.66,7.46,8.97,4.42,4.49,0,2.68,0.03,2.89,2.73,0.61,0.6,0.47,1.13,1.35,0.29,1.11,0.95,0.62,0.62,0.23,0.36,0.36,0.32,0.39,0.31,0.05,0.17,0.21,0.11,0,0.15,0,0.11,0.08,0.1,0.09,0.08,0.05,0.01,0.07,0.08,0.07,0.03,0.07,0.02,0,0.05,0,0.07,0.02,0,0.03,0.02,0.04,0.04,0.03,0.01,0,0.02,0.01,0.52
2019-06,31.98,22.04,7.39,9.04,4.21,5.03,0,2.69,0.04,2.81,2.82,0.6,0.63,0.42,1.12,1.33,0.29,1.01,0.88,0.58,0.6,0.23,0.47,0.36,0.3,0.38,0.32,0.04,0.21,0.21,0.14,0,0.13,0,0.14,0.07,0.1,0.08,0.07,0.06,0.01,0.06,0.08,0.07,0.05,0.07,0.02,0,0.04,0,0.09,0.02,0,0.03,0.02,0.04,0.04,0.03,0.01,0,0.02,0.01,0.48
2019-07,31.13,22.01,7.76,9.15,4.46,5.36,0,2.63,0.04,2.56,3.26,0.58,0.62,0.4,1.11,1.3,0.28,0.94,0.87,0.54,0.66,0.22,0.42,0.33,0.28,0.35,0.31,0.14,0.19,0.2,0.12,0,0.12,0,0.14,0.08,0.09,0.08,0.06,0.06,0.01,0.06,0.07,0.07,0.05,0.06,0.02,0,0.04,0,0.08,0.02,0,0.03,0.02,0.04,0.03,0.02,0.02,0,0.03,0.01,0.46
2019-08,31.47,22.17,8.38,9.02,4.73,3.69,0.07,2.56,0.29,2.59,3.31,0.58,0.62,0.46,1.08,1.22,0.29,0.9,0.87,0.52,0.59,0.22,0.42,0.32,0.31,0.32,0.29,0.23,0.19,0.19,0.12,0,0.13,0,0.15,0.09,0.09,0.07,0.06,0.05,0.01,0.06,0.06,0.06,0.05,0.06,0.02,0,0.04,0.23,0.04,0.02,0,0.02,0.02,0.04,0.03,0.03,0.03,0,0.04,0.01,0.45
2019-09,31.18,22.48,8.26,10.02,4.57,3.16,0.1,2.48,0.49,2.47,3.32,0.65,0.62,0.45,1.02,1.09,0.32,0.85,0.8,0.47,0.58,0.22,0.41,0.29,0.29,0.29,0.27,0.45,0.18,0.18,0.12,0,0.12,0,0.13,0.08,0.08,0.07,0.07,0.05,0.01,0.05,0.06,0.06,0.04,0.05,0.02,0,0.03,0.29,0.04,0.02,0,0.02,0.02,0.03,0.03,0.02,0.04,0,0.04,0.01,0.41
2019-10,31.49,22.09,7.79,10.02,4.1,3.27,0.1,2.41,0.54,2.4,3.15,0.7,2.35,0.42,0.95,0.96,0.32,0.84,0.74,0.42,0.5,0.2,0.42,0.27,0.27,0.28,0.24,0.51,0.18,0.15,0.12,0,0.11,0,0.12,0.08,0.08,0.07,0.06,0.05,0.01,0.05,0.05,0.05,0.04,0.05,0.02,0,0.03,0.31,0.03,0.01,0,0.02,0.02,0.03,0.03,0.02,0.04,0,0.04,0.01,0.4
