Date,Samsung,Apple,Xiaomi,Google
2019-01,32.16,22.85,7.88,0.49
2019-02,31.52,23.28,8.03,0.53
2019-03,31.77,22.4,7.52,0.52
2019-04,32.16,22.76,7.21,0.55
2019-05,31.55,22.66,7.46,0.6
2019-06,31.98,22.04,7.39,0.63
2019-07,31.13,22.01,7.76,0.62
2019-08,31.47,22.17,8.38,0.62
2019-09,31.18,22.48,8.26,0.62
2019-10,31.49,22.09,7.79,2.35
2019-11,31.36,22.9,8.16,0.66
2019-12,31.37,24.79,7.73,0.75
2020-01,31.29,24.76,8.1,0.69
2020-02,30.91,25.89,7.8,0.7
2020-03,30.8,27.03,7.7,0.73
2020-04,30.41,28.79,7.6,0.75
2020-05,30.18,26.72,8.36,0.7
2020-06,31.06,25.26,8.55,0.68
2020-07,30.95,24.82,8.94,0.65
2020-08,31.04,25.15,8.9,0.63
2020-09,30.57,24.98,9.49,0.63
2020-10,30.25,26.53,9.67,0.63
2020-11,30.36,28.19,9.6,0.7
2020-12,29.14,26.91,10.02,0.66
2021-01,28.97,27.47,10.04,0.66
2021-02,28.52,27.33,10.27,0.66
2021-03,28.35,27.41,10.31,0.66
2021-04,28.15,27,10.43,0.68
2021-05,27.84,26.46,10.63,0.67
2021-06,27.48,26.35,10.8,0.66
2021-07,27.33,26.92,10.94,0.67
2021-08,27.92,26.42,11.38,0.68
2021-09,27.55,26.75,11.51,0.67
2021-10,27.06,28.21,11.4,0.68
2021-11,27.18,28.54,11.37,0.65
2021-12,26.93,29.24,11.52,0.73
2022-01,27.18,29.49,11.54,0.78
2022-02,27.68,28.29,11.61,0.76
2022-03,28.22,27.57,12.24,0.75
2022-04,27.94,27.68,12.18,0.81
2022-05,28.25,27.83,12.64,0.77
2022-06,28.24,27.22,13.05,0.73
2022-07,28.17,27.5,12.86,0.75
2022-08,28.76,27.83,12.8,0.74
2022-09,28.41,27.8,13.02,0.73
2022-10,28.21,28.41,12.73,0.77
2022-11,28.33,27.48,12.97,0.72
2022-12,27.38,26.98,12.35,0.75
2023-01,27.09,27.6,12.52,0.74
2023-02,26.75,27.1,12.29,0.76
2023-03,27.1,28.42,12.16,0.74
2023-04,26.05,30.61,11.68,0.73
2023-05,25.27,31.44,11.13,0.76
2023-06,24.59,28.44,11.05,0.89
2023-07,24.22,28.39,11.21,0.95
2023-08,24.16,28.53,11.09,0.95
2023-09,24.23,29.58,10.84,0.95
2023-10,24.69,29.65,10.99,1.14
2023-11,24.61,29.12,11.52,0.98
2023-12,24.15,28.8,11.99,0.95
